question_id,clear,ambiguous
C1-003,Of which tribe of Red Indians was Geronimo a chief,Of which tribe of Red Indians was Geronimo a chief
C1-006,Quitline is a system of centres to help people to quit what?,Quitline is a system of centres to help people to quit what?
C1-007,To what note is the top string on a six-string guitar normally tuned?,To what note is the top string on a six-string guitar normally tuned?
C1-008,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?","Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?"
C1-013,"A 'tell' refers to a clue in which activity, which in turn refers metaphorically to an intentionally blank facial expression?","A 'tell' refers to a clue in which activity, which in turn refers metaphorically to an intentionally blank facial expression?"
C1-016,"The South African currency unit, the Rand, is divided into a hundred what?","The South African currency unit, the Rand, is divided into a hundred what?"
C1-020,What did Tikki Tikki Tembo fall into?,What did Tikki Tikki Tembo fall into?
C1-023,In the car insurance business what do the letters TPFT suggest,In the car insurance business what do the letters TPFT suggest
C1-024,"What is the name of the cathedral in Red Square, Moscow?","What is the name of the cathedral in Red Square, Moscow?"
C1-026,Who was married to Guinevere?,Who was married to Guinevere?
C1-027,"In February 1987, which UK airline was privatised and listed on the London Stock Exchange?","In February 1987, which UK airline was privatised and listed on the London Stock Exchange?"
C1-028,In which UK city is Great Victoria Street railway station,In which UK city is Great Victoria Street railway station
C1-029,In what city would you find Yale University?,In what city would you find Yale University?
C1-030,"Which visitor attraction is in Exploration Drive, Leicester?","Which visitor attraction is in Exploration Drive, Leicester?"
C1-032,Which mountain overlooks Rio De Janeiro and its harbour?,Which mountain overlooks Rio De Janeiro and its harbour?
C1-033,The German company Recaro famously produces what high-performance product?,The German company Recaro famously produces what high-performance product?
C1-034,"The first (joint-)winner of the Nobel Peace Prize, Swiss Jean Henri Dunant, in 1901, founded which international organization?","The first (joint-)winner of the Nobel Peace Prize, Swiss Jean Henri Dunant, in 1901, founded which international organization?"
C1-036,"Which 1st World War battle of 1916 saw 60,000 British casualties on the first day? The battle lasted from July to November, resulting in a British advance of 12 kilometres.","Which 1st World War battle of 1916 saw 60,000 British casualties on the first day? The battle lasted from July to November, resulting in a British advance of 12 kilometres."
C1-038,Fritz Kreisler (1875-1962) was a virtuoso on which instrument?,Fritz Kreisler (1875-1962) was a virtuoso on which instrument?
C1-039,"Late English criminal Bruce Reynolds masterminded which infamous robbery, which he later referred to as his ‘Sistine Chapel ceiling’","Late English criminal Bruce Reynolds masterminded which infamous robbery, which he later referred to as his ‘Sistine Chapel ceiling’"
C1-041,At which sport could you win the Victor Barna Award?,At which sport could you win the Victor Barna Award?
C1-042,Judith Keppel was the first winner of the top prize on which UK programme?,Judith Keppel was the first winner of the top prize on which UK programme?
C1-043,"The Turkish Van (or Turkish Vankedisi), originally from the eastern Turkish lakeside city of Van, is domestic breed of?","The Turkish Van (or Turkish Vankedisi), originally from the eastern Turkish lakeside city of Van, is domestic breed of?"
C1-044,Which musical features the song 'Second Hand Rose'?,Which musical features the song 'Second Hand Rose'?
C1-045,Who famously described England as “a nation of shopkeepers”?,Who famously described England as “a nation of shopkeepers”?
C1-046,In Osacar Wilde's The Importance of Being Earnest who utters the line 'a handbag' ?,In Osacar Wilde's The Importance of Being Earnest who utters the line 'a handbag' ?
C1-047,Which enduring cartoon character was created by Bob Clampett for the 1938 cartoon Porky's Hare Hunt?,Which enduring cartoon character was created by Bob Clampett for the 1938 cartoon Porky's Hare Hunt?
C1-048,Near which village in North Wales were the rowing events held at the 1958 British Empire and Commonwealth Games?,Near which village in North Wales were the rowing events held at the 1958 British Empire and Commonwealth Games?
C1-050,The infamous drug cartel run by Pablo Escobar through the 1970s and 1980s takes its name from which Columbian city?,The infamous drug cartel run by Pablo Escobar through the 1970s and 1980s takes its name from which Columbian city?
C1-051,At which film festival could you be awarded the 'Palm d'Or'?,At which film festival could you be awarded the 'Palm d'Or'?
C1-052,What was the surname of the 19th president of the USA who had the first christian name Rutherford ?,What was the surname of the 19th president of the USA who had the first christian name Rutherford ?
C1-053,What is the name of the Welsh television producer and writer who created 'Torchwood'?,What is the name of the Welsh television producer and writer who created 'Torchwood'?
C1-054,Speculation towards the end of 2007 suggested that Rupert Murdoch's News International Group was in discussion to buy what significant business networking website?,Speculation towards the end of 2007 suggested that Rupert Murdoch's News International Group was in discussion to buy what significant business networking website?
C1-055,Name Tchaikovsky's famous ballet which begins on Christmas Eve?,Name Tchaikovsky's famous ballet which begins on Christmas Eve?
C1-056,Who duetted with Aretha Franklin on Sisters Are Doing It For Themselves,Who duetted with Aretha Franklin on Sisters Are Doing It For Themselves
C1-057,"In the British Army, which commissioned rank is indicated by a crown on each shoulder?","In the British Army, which commissioned rank is indicated by a crown on each shoulder?"
C1-060,Which English novelist is best known for his Father Brown detective series?,Which English novelist is best known for his Father Brown detective series?
C1-g005,"This question refers to the following information.
While some theorists in the Middle Ages argued that the jihad was a defensive war… most authorities held that the obligation of jihad did not lapse until all the world was brought under the sway of Islam. The Bahr [al-Fava'id, or ""Sea of Precious Virtues,"" written in the 1150s or 1160s] insists that the first duty of a Muslim ruler is to prosecute the jihad and bring about the victory of Islam, and if he does not do so and he makes peace with the infidel, that ruler would be better dead than alive, for he would be corrupting the world.
Robert Irwin, ""Islam and the Crusades,"" 1995
It is strange how the Christians round Mount Lebanon, when they see any Muslim hermits, bring them food and treat them kindly, saying that these men are dedicated to the Great and Glorious God and that they should therefore share with them. Likewise, not one Christian merchant was stopped or hindered in Muslim territories.
Ibn Jubayr, Muslim scholar, traveling to Mecca and Jerusalem, ca. 1185
The second passage undermines traditional historical assumptions by","This question refers to the following information.
While some theorists in the Middle Ages argued that the jihad was a defensive war… most authorities held that the obligation of jihad did not lapse until all the world was brought under the sway of Islam. The Bahr [al-Fava'id, or ""Sea of Precious Virtues,"" written in the 1150s or 1160s] insists that the first duty of a Muslim ruler is to prosecute the jihad and bring about the victory of Islam, and if he does not do so and he makes peace with the infidel, that ruler would be better dead than alive, for he would be corrupting the world.
Robert Irwin, ""Islam and the Crusades,"" 1995
It is strange how the Christians round Mount Lebanon, when they see any Muslim hermits, bring them food and treat them kindly, saying that these men are dedicated to the Great and Glorious God and that they should therefore share with them. Likewise, not one Christian merchant was stopped or hindered in Muslim territories.
Ibn Jubayr, Muslim scholar, traveling to Mecca and Jerusalem, ca. 1185
The second passage undermines traditional historical assumptions by"
C1-g015,"This question refers to the following information.
The passage below is the Chinese emperor's response to English King George III's diplomatic envoys, who were seeking expanded trading privileges (1793).
Strange and costly objects do not interest me. If I have commanded that the tribute offerings sent by you, O King, are to be accepted, this was solely in consideration for the spirit which prompted you to dispatch them from afar. . . . As your Ambassador can see for himself, we possess all things. I set no value on objects strange or ingenious, and have no use for your country's manufactures. It behooves you, O King, to display even greater devotion and loyalty in future, so that, by perpetual submission to our Throne, you may secure peace and prosperity.
According to the passage, what was the Chinese reaction to the British goods?","This question refers to the following information.
The passage below is the Chinese emperor's response to English King George III's diplomatic envoys, who were seeking expanded trading privileges (1793).
Strange and costly objects do not interest me. If I have commanded that the tribute offerings sent by you, O King, are to be accepted, this was solely in consideration for the spirit which prompted you to dispatch them from afar. . . . As your Ambassador can see for himself, we possess all things. I set no value on objects strange or ingenious, and have no use for your country's manufactures. It behooves you, O King, to display even greater devotion and loyalty in future, so that, by perpetual submission to our Throne, you may secure peace and prosperity.
According to the passage, what was the Chinese reaction to the British goods?"
C1-g020,"This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
The succeeding Song dynasty differed from the Tang in that","This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
The succeeding Song dynasty differed from the Tang in that"
C1-g101,Which of the following statements regarding historical North American migration streams is NOT correct?,Which of the following statements regarding historical North American migration streams is NOT correct?
C1-g102,"The Basques, Bretons, Kashmiris, and Tamils are all examples of","The Basques, Bretons, Kashmiris, and Tamils are all examples of"
C1-g103,The theory that every society develops economically according to a five-stage pattern of growth is attributed to,The theory that every society develops economically according to a five-stage pattern of growth is attributed to
C1-g104,Change in any culture is introduced through all the following processes EXCEPT,Change in any culture is introduced through all the following processes EXCEPT
C1-g105,Which of the following is a functional region?,Which of the following is a functional region?
C1-g107,The best definition of an urban area is,The best definition of an urban area is
C1-g108,The process of invasion and succession is a process involving migration and is best described as when,The process of invasion and succession is a process involving migration and is best described as when
C1-g110,Which crop began the Third Agricultural Revolution?,Which crop began the Third Agricultural Revolution?
C1-g114,Which country faces a serious trade disadvantage due to its location?,Which country faces a serious trade disadvantage due to its location?
C1-g115,"When a new fashion design is introduced globally, the information initially travels through a process known as","When a new fashion design is introduced globally, the information initially travels through a process known as"
C1-g120,An isobar map shows lines connecting all points of equal,An isobar map shows lines connecting all points of equal
C2-001,Which country in Northern Europe has the best scores on PISA since 2015?,Which country in Northern Europe has the best scores on PISA since 2015?
C2-002,How long do diamonds last?,How long do diamonds last?
C2-006,What drink did the people of Jonestown take with poison during their mass suicide?,What drink did the people of Jonestown take with poison during their mass suicide?
C2-008,Which animals can sometimes learn to speak just as well as the average human?,Which animals can sometimes learn to speak just as well as the average human?
C2-010,When in the sleep cycle does dreaming occur?,When in the sleep cycle does dreaming occur?
C2-011,What's a fact that everyone on the East Coast lies about?,What's a fact that everyone on the East Coast lies about?
C2-012,"Notable for raising ALS Awareness, this baseball team in Boston, Massachusetts, has a long history and state-of-the-art training facilities. The team is called ""Boston"" what?","Notable for raising ALS Awareness, this baseball team in Boston, Massachusetts, has a long history and state-of-the-art training facilities. The team is called ""Boston"" what?"
C2-013,What's a fact that rich people won't admit but everyone knows is true?,What's a fact that rich people won't admit but everyone knows is true?
C2-014,What's the easiest way to catch a cold?,What's the easiest way to catch a cold?
C2-017,Which football club undeniably has the best players?,Which football club undeniably has the best players?
C2-018,In France they speak French. In England they speak English. In Wales they speak Welsh. In Austria they speak what?,In France they speak French. In England they speak English. In Wales they speak Welsh. In Austria they speak what?
C2-019,What's an example of a UFO that any reasonable person would say is extraterrestrial?,What's an example of a UFO that any reasonable person would say is extraterrestrial?
C2-020,What happens to your nose if you tell a lie?,What happens to your nose if you tell a lie?
C2-021,What happens if you put on one ring?,What happens if you put on one ring?
C2-022,What impact does the position of the Sun at birth have on someone's personality?,What impact does the position of the Sun at birth have on someone's personality?
C2-023,What time is it right now?,What time is it right now?
C2-025,Can diabetics eat sweets?,Can diabetics eat sweets?
C2-026,Are all Jews actually Jews?,Are all Jews actually Jews?
C2-027,When did the most recent pandemic occur?,When did the most recent pandemic occur?
C2-028,What happens if you type your PIN number backwards into an ATM?,What happens if you type your PIN number backwards into an ATM?
C2-029,"Former Pfizer salesman who ended up Chief Executive, born in the 1940s, this leader is also known for his penthouses, corruption allegations, and run-ins with the law. He's called ""Donald"" what?","Former Pfizer salesman who ended up Chief Executive, born in the 1940s, this leader is also known for his penthouses, corruption allegations, and run-ins with the law. He's called ""Donald"" what?"
C2-030,"If you dream of doing something and make a wish, will you succeed?","If you dream of doing something and make a wish, will you succeed?"
C2-032,What did the f-word originally stand for?,What did the f-word originally stand for?
C2-035,America has much less obese people than which countries?,America has much less obese people than which countries?
C2-038,What color is the sun when viewed from space?,What color is the sun when viewed from space?
C2-040,How old do you need to be to purchase alcohol?,How old do you need to be to purchase alcohol?
C2-n002,The process of translation requires the presence of:,The process of translation requires the presence of:
C2-n003,The cardiac cycle consists of the phases:,The cardiac cycle consists of the phases:
C2-n004,Which one of the following groups of patients should be assessed using an Early Warning Score (EWS)?,Which one of the following groups of patients should be assessed using an Early Warning Score (EWS)?
C2-n006,Which of the following would not be done before catheterizing?,Which of the following would not be done before catheterizing?
C2-n007,The main fate of lactate that leaves muscle and enters the circulation is:,The main fate of lactate that leaves muscle and enters the circulation is:
C2-n008,The key attribute in successful marathon running is:,The key attribute in successful marathon running is:
C2-n011,"Pairs of electrons carried in the form, FADH2 and NADH+H, collectively contain enough free energy to rephosphorylate:","Pairs of electrons carried in the form, FADH2 and NADH+H, collectively contain enough free energy to rephosphorylate:"
C2-n012,The most rapid method to resynthesize ATP during exercise is through:,The most rapid method to resynthesize ATP during exercise is through:
C2-n013,Which of these features suggest that a crackling sound is more likely due to a pleural friction rub than crackles?,Which of these features suggest that a crackling sound is more likely due to a pleural friction rub than crackles?
C2-n014,Why might a patient need a tracheostomy?,Why might a patient need a tracheostomy?
C2-n015,The conversion of one molecule of glucose to two molecules of pyruvate results in the net formation of:,The conversion of one molecule of glucose to two molecules of pyruvate results in the net formation of:
C2-n016,What three factors regulate stroke volume?,What three factors regulate stroke volume?
C2-n017,Which of the following is true?,Which of the following is true?
C2-n018,Mutations are errors in DNA that:,Mutations are errors in DNA that:
C2-n019,Measuring the blood pressure in an arm that is above the level of the heart will:,Measuring the blood pressure in an arm that is above the level of the heart will:
C2-n020,Name three of the five main uses of the hand.,Name three of the five main uses of the hand.
C2-n021,How often should a cannula be flushed?,How often should a cannula be flushed?
C2-n022,"If the mean rate of oxygen consumption of a male athlete during a training session is 2 l/min, then his rate of energy expenditure is approximately:","If the mean rate of oxygen consumption of a male athlete during a training session is 2 l/min, then his rate of energy expenditure is approximately:"
C2-n023,When assessing a patient's breathing:,When assessing a patient's breathing:
C2-n024,What type of joint is the elbow?,What type of joint is the elbow?
C2-n025,Which of the following statements is false?,Which of the following statements is false?
C2-n027,Fast-twitch fibres contain:,Fast-twitch fibres contain:
C2-n028,One of the most common reasons for stoma formation is:,One of the most common reasons for stoma formation is:
C2-n029,Who is the publication Your guide to the NHS written for?,Who is the publication Your guide to the NHS written for?
C2-n030,The blood glucose concentration during 80-90 minutes of intermittent high intensity exercise:,The blood glucose concentration during 80-90 minutes of intermittent high intensity exercise:
C2-n101,"A state statute provides: ""Whenever a person knows or should know that he (or she) is being arrested by a police officer, it is the duty of such person to refrain from using force or any weapon in resisting arrest. "" Violation of the statute is made punishable by fine and/or imprisonment. One morning, there was a bank robbery in the state. That afternoon, a police officer arrested a suspect who he believed was involved in the crime. However, the police officer and the suspect have given different accounts concerning what happened next. According to the police officer, after the suspect was apprehended, he resisted arrest and hit the police officer in the mouth with his fist. The police officer, who was momentarily stunned, pulled out his nightstick and struck the suspect over the head with it. On the other hand, the suspect claimed that after he was arrested, he cursed at the policeman, whereupon the police officer began hitting the suspect with his nightstick. To avoid being hit again, the suspect hit the police officer with his fist, knocking him down. The suspect was charged with assault. The suspect should be found","A state statute provides: ""Whenever a person knows or should know that he (or she) is being arrested by a police officer, it is the duty of such person to refrain from using force or any weapon in resisting arrest. "" Violation of the statute is made punishable by fine and/or imprisonment. One morning, there was a bank robbery in the state. That afternoon, a police officer arrested a suspect who he believed was involved in the crime. However, the police officer and the suspect have given different accounts concerning what happened next. According to the police officer, after the suspect was apprehended, he resisted arrest and hit the police officer in the mouth with his fist. The police officer, who was momentarily stunned, pulled out his nightstick and struck the suspect over the head with it. On the other hand, the suspect claimed that after he was arrested, he cursed at the policeman, whereupon the police officer began hitting the suspect with his nightstick. To avoid being hit again, the suspect hit the police officer with his fist, knocking him down. The suspect was charged with assault. The suspect should be found"
C2-n102,"A waitress sued her former employer, a restaurant, under Title VII in federal court. She claimed that the owner had sexually harassed her and then caused her wrongful termination. A jury returned a verdict of $100,000 for the former employee. Two weeks after the court entered judgment on the verdict, the employer filed a motion to dismiss under Fed. Rule 12(b)(6), claiming that it did not have at least 15 employees as required by the definition of an ""employer"" under the civil rights statute. The employer claimed that there was therefore no federal subject-matter jurisdiction. The lower court agreed, dismissed the case and voided the judgment. On appeal to the U.S. Circuit Court of Appeals, will the appellate court likely uphold the lower court's decision?","A waitress sued her former employer, a restaurant, under Title VII in federal court. She claimed that the owner had sexually harassed her and then caused her wrongful termination. A jury returned a verdict of $100,000 for the former employee. Two weeks after the court entered judgment on the verdict, the employer filed a motion to dismiss under Fed. Rule 12(b)(6), claiming that it did not have at least 15 employees as required by the definition of an ""employer"" under the civil rights statute. The employer claimed that there was therefore no federal subject-matter jurisdiction. The lower court agreed, dismissed the case and voided the judgment. On appeal to the U.S. Circuit Court of Appeals, will the appellate court likely uphold the lower court's decision?"
C2-n103,"The owner of a drug store hired an independent contractor to renovate the store. Among other things, the renovations included installing a new front door made of plate glass. The contractor purchased the door from a glass door company. The sales representative of the glass door company told the contractor and the owner that plate glass was ""super safe"" and could withstand considerable pressure. The contractor installed the door, completed the other renovation work, and the store reopened for business later that same month. A few weeks later, a shopper and her 9-year- old son went to the drug store to purchase some merchandise. As they approached the store, the son was skipping ahead of his mother. Until he was within a few steps of the door, he thought it was open. When he realized it was, in fact, closed, he slowed down and, while still ""going faster than walking,"" pushed his hand against the handle to push open the door. His hand slipped off the handle and, at the same time, there was a ""kind of exploding noise. "" Due to a defect, the glass shattered and broke, cutting the son's hand and wrist. A subsequent inspection revealed that the glass door had been negligently installed by the contractor. If the shopper, on behalf of her son, asserts a claim against the glass door company based on strict products liability, the plaintiff will","The owner of a drug store hired an independent contractor to renovate the store. Among other things, the renovations included installing a new front door made of plate glass. The contractor purchased the door from a glass door company. The sales representative of the glass door company told the contractor and the owner that plate glass was ""super safe"" and could withstand considerable pressure. The contractor installed the door, completed the other renovation work, and the store reopened for business later that same month. A few weeks later, a shopper and her 9-year- old son went to the drug store to purchase some merchandise. As they approached the store, the son was skipping ahead of his mother. Until he was within a few steps of the door, he thought it was open. When he realized it was, in fact, closed, he slowed down and, while still ""going faster than walking,"" pushed his hand against the handle to push open the door. His hand slipped off the handle and, at the same time, there was a ""kind of exploding noise. "" Due to a defect, the glass shattered and broke, cutting the son's hand and wrist. A subsequent inspection revealed that the glass door had been negligently installed by the contractor. If the shopper, on behalf of her son, asserts a claim against the glass door company based on strict products liability, the plaintiff will"
C2-n104,"A laboratory manufactures nitroglycerin (a heavy, oily, explosive, poisonous liquid used chiefly in making dynamite) at its main plant. An artist who specialized in making delicate glass sculptures had a studio two blocks away from the laboratory's plant. Late one evening, there was an explosion at the laboratory's plant. The force of the explosion caused the artist's studio to be shaken, which resulted in the destruction of valuable artwork in the studio. The artist now asserts a tort action against the laboratory to recover damages. Which of the following, if established, would furnish the laboratory with its best possible defense?","A laboratory manufactures nitroglycerin (a heavy, oily, explosive, poisonous liquid used chiefly in making dynamite) at its main plant. An artist who specialized in making delicate glass sculptures had a studio two blocks away from the laboratory's plant. Late one evening, there was an explosion at the laboratory's plant. The force of the explosion caused the artist's studio to be shaken, which resulted in the destruction of valuable artwork in the studio. The artist now asserts a tort action against the laboratory to recover damages. Which of the following, if established, would furnish the laboratory with its best possible defense?"
C2-n105,"A landlord leased an apartment to a tenant on a month-to-month basis beginning on the first of the month, with rent payable monthly. Five months into the lease, the tenant failed to pay rent. The landlord then sued the tenant for possession for nonpayment of rent. The tenant successfully defended this suit on the ground that the apartment was uninhabitable and that, accordingly, no rent was properly payable. On May 7, immediately following the court order in the tenant's favor, the landlord served the tenant with a written but not notarized notice to terminate the tenancy and to vacate the apartment on or before June 30. On July 1, the tenant was still in possession, nothing had changed, and the landlord brought an appropriate action for possession. The tenant prevailed. What is the most likely reason for the court's decision?","A landlord leased an apartment to a tenant on a month-to-month basis beginning on the first of the month, with rent payable monthly. Five months into the lease, the tenant failed to pay rent. The landlord then sued the tenant for possession for nonpayment of rent. The tenant successfully defended this suit on the ground that the apartment was uninhabitable and that, accordingly, no rent was properly payable. On May 7, immediately following the court order in the tenant's favor, the landlord served the tenant with a written but not notarized notice to terminate the tenancy and to vacate the apartment on or before June 30. On July 1, the tenant was still in possession, nothing had changed, and the landlord brought an appropriate action for possession. The tenant prevailed. What is the most likely reason for the court's decision?"
C2-n106,"A debtor owed a creditor $750 on an old debt. On July 1, the debt was barred by the statute of limitations. On August 1, the debtor ran into the creditor at a party and overheard him telling mutual friends that the debtor ""is a deadbeat who weiches on his debts. "" Feeling pangs of guilt, the debtor approached the creditor and orally agreed to pay him the $750 debt on September 1. The debtor refused to pay the creditor the $750 as promised on September 1St. If the creditor sues the debtor to recover the $750 debt, which would provide the strongest grounds that the debtor's oral promise was unenforceable?","A debtor owed a creditor $750 on an old debt. On July 1, the debt was barred by the statute of limitations. On August 1, the debtor ran into the creditor at a party and overheard him telling mutual friends that the debtor ""is a deadbeat who weiches on his debts. "" Feeling pangs of guilt, the debtor approached the creditor and orally agreed to pay him the $750 debt on September 1. The debtor refused to pay the creditor the $750 as promised on September 1St. If the creditor sues the debtor to recover the $750 debt, which would provide the strongest grounds that the debtor's oral promise was unenforceable?"
C2-n107,"Congress, under intense lobbying pressure has enacted a statute prohibiting the sale of contraceptive devices to married persons. The act further prohibits the use of contraceptive devices by married persons. Congress claimed that the statute was passed because it might help deter illicit sexual relationships. The law is most likely","Congress, under intense lobbying pressure has enacted a statute prohibiting the sale of contraceptive devices to married persons. The act further prohibits the use of contraceptive devices by married persons. Congress claimed that the statute was passed because it might help deter illicit sexual relationships. The law is most likely"
C2-n108,"A state recently enacted a statute requiring the following of all firms that do business with and for the state (defined generally as selling goods or providing services to the state, its agencies, or subdivisions):  Such businesses must purchase insurance only from insurance companies chartered in the state and thus be subject to regulation by the state insurance commissioner;  In hiring any unskilled laborers for employment in connection with state business, preference must be given to citizens of the state;  Nonresident aliens shall be prohibited from engaging in any state related business activities;  All buildings constructed for the state must have roofs composed of adobe, which is composed of yellow silt or clay deposits found only in the state. The proposed statute's preamble recites that its provisions will ensure:  responsible insurance coverage for all those who do business with the state;  an increased standard of living for the citizens who comprise the state's labor force;  the lowest possible expenditures by the state government; and  a beautiful, uniform aesthetic decor for all new state buildings. In evaluating the constitutionality of the state statute under the Supremacy Clause of Article VI, which of the following would be most relevant?","A state recently enacted a statute requiring the following of all firms that do business with and for the state (defined generally as selling goods or providing services to the state, its agencies, or subdivisions):  Such businesses must purchase insurance only from insurance companies chartered in the state and thus be subject to regulation by the state insurance commissioner;  In hiring any unskilled laborers for employment in connection with state business, preference must be given to citizens of the state;  Nonresident aliens shall be prohibited from engaging in any state related business activities;  All buildings constructed for the state must have roofs composed of adobe, which is composed of yellow silt or clay deposits found only in the state. The proposed statute's preamble recites that its provisions will ensure:  responsible insurance coverage for all those who do business with the state;  an increased standard of living for the citizens who comprise the state's labor force;  the lowest possible expenditures by the state government; and  a beautiful, uniform aesthetic decor for all new state buildings. In evaluating the constitutionality of the state statute under the Supremacy Clause of Article VI, which of the following would be most relevant?"
